language,online_Courses_Completed,certification_Authority
python,Cleaning Data in Python,Data Camp
python,Code Clinic,Lynda
python,Deep Learning in Python,Data Camp
python,Deep Learning in Python,Data Camp
VBA,Excel Essentials,Udemy
python,Importing Data in Python,Data Camp
python,Intermediate Python for Data Science,Data Camp
python,Intro to Python for Data Science,Data Camp
SQL,Intro to SQL for Data Science,Data Camp
R,Introduction to R ,Data Camp
SQL,Joining Data in PostgreSQL,Data Camp
python,Machine Learning with the Experts: School Budgets,Data Camp
python,Network Analysis in Python(Part 1),Data Camp
python,pandas Foundation,Data Camp
python,Python Data Science Toolbox (Part 1),Data Camp
python,Python Data Science Toolbox (Part 2),Data Camp
python,Statistical Thinking in Python (Part 2),Data Camp
python,Supervised Learning with scikit-learn,Data Camp
SQL,The Complete Oracle Certification,Data Camp
python,Unsupervised Learning in Python,Data Camp
python,Importing Data in Python (Part 2),Data Camp
python,Manipulating DataFrames with pandas,Data Camp
python,Statistical Thinking in Python (Part 1),Data Camp
python,Introduction to Data Visualization with python,Data Camp
python,Introduction to Databases in Python,Data Camp
python,Merging Data Frames with pandas,Data Camp
python,Interactive Data Visualization with Bokeh,Data Camp
SQL,SQL: Table Transformation,codecadmy
SQL,SQL: Analyzing Business Metrics,codecadmy
SQL,Learn SQL,codecadmy
python,Learn Python,codecadmy
SQL,Intro to SQL: Querying and managing data,Khan Academy
R,Intermediate R,Data Camp
R,Intermediate R- Practice,Data Camp
R,Importing Data in R (Part 1),Data Camp
R,Importing Data in R (Part 2),Data Camp
R,Cleaning Data in R,Data Camp
R,Importing & Cleaning Data in R: Case Studies,Data Camp
R,Writing Functions in R Course,Data Camp
R,Introduction to Data,Data Camp
R,Exploratory Data Analysis,Data Camp
